"taxa","yr","phase","start","peak","end","nobs"
"A. chrysanthus",2021,"flowers",122,184,234,15
"A. chrysanthus",2021,"flowers_open",160,200,234,15
"A. palmeri",2018,"flowers",133,182,243,106
"A. palmeri",2018,"flowers_open",160,206,244,106
"A. palmeri",2019,"flowers",124,187,277,67
"A. palmeri",2019,"flowers_open",170,203,263,67
"A. palmeri",2020,"flowers",126,225,310,54
"A. palmeri",2020,"flowers_open",175,219,276,54
"A. palmeri",2021,"flowers",117,183,273,69
"A. palmeri",2021,"flowers_open",166,197,269,69
"A. palmeri",2022,"flowers",134,182,273,68
"A. palmeri",2022,"flowers_open",164,211,273,68
"A. palmeri",2023,"flowers",139,190,NA,50
"A. palmeri",2023,"flowers_open",175,205,NA,50
"A. parryi",2018,"flowers",106,158,257,18
"A. parryi",2018,"flowers_open",132,163,253,18
"A. parryi",2019,"flowers",107,168,238,12
"A. parryi",2019,"flowers_open",145,179,231,12
"Agave spp.",2018,"flowers",110,182,244,131
"Agave spp.",2018,"flowers_open",125,208,244,131
"Agave spp.",2019,"flowers",120,184,275,86
"Agave spp.",2019,"flowers_open",161,201,257,86
"Agave spp.",2020,"flowers",118,229,312,60
"Agave spp.",2020,"flowers_open",158,223,275,60
"Agave spp.",2021,"flowers",110,183,273,90
"Agave spp.",2021,"flowers_open",162,202,272,90
"Agave spp.",2022,"flowers",102,187,273,76
"Agave spp.",2022,"flowers_open",157,211,273,76
"Agave spp.",2023,"flowers",65,191,NA,58
"Agave spp.",2023,"flowers_open",169,208,NA,58
"C. gigantea",2012,"flowers",70,114,193,19
"C. gigantea",2012,"flowers_open",98,128,160,19
"C. gigantea",2013,"flowers",84,137,316,29
"C. gigantea",2013,"flowers_open",110,147,198,29
"C. gigantea",2014,"flowers",72,134,190,26
"C. gigantea",2014,"flowers_open",95,142,189,26
"C. gigantea",2015,"flowers",80,144,307,15
"C. gigantea",2015,"flowers_open",106,254,289,15
"C. gigantea",2016,"flowers",72,136,202,21
"C. gigantea",2016,"flowers_open",96,136,173,21
"C. gigantea",2017,"flowers",56,129,196,36
"C. gigantea",2017,"flowers_open",100,133,185,36
"C. gigantea",2018,"flowers",90,131,176,56
"C. gigantea",2018,"flowers_open",110,137,169,56
"C. gigantea",2019,"flowers",90,131,195,70
"C. gigantea",2019,"flowers_open",107,138,183,70
"C. gigantea",2020,"flowers",90,131,180,83
"C. gigantea",2020,"flowers_open",109,138,177,83
"C. gigantea",2021,"flowers",31,123,165,68
"C. gigantea",2021,"flowers_open",94,129,163,68
"C. gigantea",2022,"flowers",73,129,202,63
"C. gigantea",2022,"flowers_open",103,133,189,63
"C. gigantea",2023,"flowers",93,128,NA,38
"C. gigantea",2023,"flowers_open",106,133,NA,38
